IMPORT_SERVER_NAME,IMPORT_DB_NAME,IMPORT_TABLE_NAME,EXPORT_SERVER_NAME,EXPORT_DB_NAME,EXPORT_TABLE_NAME,EXPORT_SCHEMA_NAME
tcspmSMDB02,USDF,CS,tcspmSMDB01,Property,CS,propr
tcspmSMDB02,USDF,PremSum,tcspmSMDB01,Property,PremSum,propr
tcspmSMDB02,USDF,PremSum2,tcspmSMDB01,Property,PremSum2,propr
tcspmSMDB02,USDF,PolicyList,tcspmSMDB01,Property,PolicyList,propr
